Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
38B1116,408174,427295,2,11/08/2016,1755,3,A629,1,1,1,Calderdale,1,3,2,37,1,9
38B1154,407940,424696,2,11/08/2016,1815,6,U,1,1,1,Calderdale,1,3,1,50,2,22
38C1070,414177,423447,1,12/08/2016,1600,6,U,1,1,1,Calderdale,3,3,1,64,1,2
38D0072,401253,426033,1,13/08/2016,45,3,A646,2,4,2,Calderdale,3,2,1,38,1,8
38E1157,410454,426044,2,14/08/2016,1655,3,A58,1,1,1,Calderdale,1,2,1,51,2,1
38F1731,412960,429054,2,15/08/2016,2110,4,B6147,1,4,1,Calderdale,1,3,2,35,2,5
38G1231,411088,421252,2,16/08/2016,1720,4,B6114,1,1,1,Calderdale,2,3,1,13,1,11
38G1231,411088,421252,2,16/08/2016,1720,4,B6114,1,1,1,Calderdale,2,3,2,34,1,11
38G1231,411088,421252,2,16/08/2016,1720,4,B6114,1,1,1,Calderdale,2,3,2,17,1,11
38G1231,411088,421252,2,16/08/2016,1720,4,B6114,1,1,1,Calderdale,2,3,1,60,1,11
38H0589,407915,424310,2,17/08/2016,1135,6,U,1,1,1,Calderdale,3,3,1,48,2,11
38I0273,409593,422354,2,18/08/2016,735,4,B6112,1,1,1,Calderdale,1,3,1,51,1,3
38I1520,410859,421525,1,18/08/2016,1932,3,A629,1,1,1,Calderdale,1,3,1,32,1,19
38J0589,411178,419328,2,19/08/2016,1120,3,A629,2,1,2,Calderdale,1,3,2,27,1,9
38J1400,403077,416005,4,19/08/2016,1904,1,M62,1,1,1,Calderdale,1,3,1,23,2,9
38J1879,390799,423819,2,19/08/2016,2314,3,A681,2,4,1,Calderdale,1,3,1,20,1,9
38J1879,390799,423819,2,19/08/2016,2314,3,A681,2,4,1,Calderdale,2,3,2,18,1,9
38L1283,408399,426250,3,21/08/2016,1815,6,U,1,1,1,Calderdale,1,3,1,12,2,2
38L1283,408399,426250,3,21/08/2016,1815,6,U,1,1,1,Calderdale,1,3,1,13,3,2
38M0064,406085,428498,2,21/08/2016,2250,6,U,1,4,9,Calderdale,1,3,1,34,1,9
38N1780,409996,425617,3,23/08/2016,2054,3,A58,1,4,1,Calderdale,1,2,1,26,1,9
38N1780,409996,425617,3,23/08/2016,2054,3,A58,1,4,1,Calderdale,2,2,1,25,1,9
38N1780,409996,425617,3,23/08/2016,2054,3,A58,1,4,1,Calderdale,1,2,2,54,3,9
38N2063,408271,424538,2,23/08/2016,1620,3,A58,1,1,1,Calderdale,1,3,1,40,2,9
38O2020,408340,424576,2,24/08/2016,2220,3,A58,1,4,1,Calderdale,1,3,1,46,1,9
38P1257,410837,421003,1,25/08/2016,1701,6,U,2,1,2,Calderdale,3,3,2,50,1,19
38Q0477,406982,426310,2,26/08/2016,1835,6,U,1,1,1,Calderdale,1,3,2,36,2,9
38Q0477,406982,426310,2,26/08/2016,1835,6,U,1,1,1,Calderdale,2,3,2,19,2,9
38Q0477,406982,426310,2,26/08/2016,1835,6,U,1,1,1,Calderdale,2,3,1,15,2,9
38S0739,412462,422538,3,28/08/2016,1830,3,A6025,1,1,1,Calderdale,1,2,1,49,1,9
38S0739,412462,422538,3,28/08/2016,1830,3,A6025,1,1,1,Calderdale,2,2,2,28,1,9
38S0739,412462,422538,3,28/08/2016,1830,3,A6025,1,1,1,Calderdale,1,3,2,58,3,9
38T1594,408079,429047,2,29/08/2016,1910,6,U,1,1,1,Calderdale,1,3,1,45,1,9
38T1594,408079,429047,2,29/08/2016,1910,6,U,1,1,1,Calderdale,2,3,1,30,1,9
38T1594,408079,429047,2,29/08/2016,1910,6,U,1,1,1,Calderdale,2,3,1,24,2,9
38U0285,413079,425264,1,30/08/2016,700,6,U,1,1,1,Calderdale,3,3,1,32,1,9
38U0473,392345,421994,1,29/08/2016,1330,6,U,1,1,1,Calderdale,1,3,1,28,1,17
3931052,409134,420714,2,03/09/2016,1528,4,B6112,2,1,2,Calderdale,1,3,2,37,2,9
3931052,409134,420714,2,03/09/2016,1528,4,B6112,2,1,2,Calderdale,2,3,2,36,2,9
3931432,409809,425235,2,03/09/2016,1550,6,U,2,1,2,Calderdale,1,3,2,26,2,9
3931695,406000,423600,1,03/09/2016,2213,3,A58,2,1,2,Calderdale,3,2,1,60,1,9
3960887,409529,423396,2,06/09/2016,1439,3,A629,1,1,1,Calderdale,1,3,2,85,1,9
3961680,415504,422619,2,06/09/2016,2040,3,A644,1,4,1,Calderdale,1,1,1,30,2,9
3961680,415504,422619,2,06/09/2016,2040,3,A644,1,4,1,Calderdale,2,1,2,26,2,9
3970611,408389,426743,1,07/09/2016,1131,3,A629,1,1,1,Calderdale,2,3,2,65,1,11
3990643,409554,423118,1,09/09/2016,1119,6,U,1,1,1,Calderdale,3,3,1,61,1,8
3991338,408704,425463,1,09/09/2016,1700,6,U,1,1,1,Calderdale,3,3,2,55,1,9
39A1720,408558,424664,2,10/09/2016,2035,6,U,1,1,1,Calderdale,2,3,1,9,2,9
39B1380,409732,422552,2,11/09/2016,1715,3,A629,1,1,1,Calderdale,1,2,1,28,1,9
39B1728,415610,422525,2,11/09/2016,2007,3,A644,1,4,1,Calderdale,2,2,1,19,1,9
39B1728,415610,422525,2,11/09/2016,2007,3,A644,1,4,1,Calderdale,1,3,1,35,2,9
39D0686,400016,426645,2,13/09/2016,1144,3,A646,1,1,1,Calderdale,1,3,1,47,2,5
39D0851,408959,423138,3,13/09/2016,1905,6,U,1,1,1,Calderdale,1,3,1,14,1,1
39E1573,394294,424325,2,14/09/2016,1910,3,A646,1,1,1,Calderdale,1,3,2,52,2,1
39F0424,393493,421912,2,15/09/2016,820,3,A6033,1,1,1,Calderdale,1,3,1,60,2,1
39F1547,412455,425469,2,15/09/2016,1840,3,A58,1,1,1,Calderdale,1,3,1,14,2,1
39G0557,408011,424367,2,16/09/2016,1108,6,U,1,1,1,Calderdale,1,3,2,52,1,9
39G0557,408011,424367,2,16/09/2016,1108,6,U,1,1,1,Calderdale,2,3,2,55,2,9
39H0887,409228,425245,1,17/09/2016,1315,6,U,1,1,1,Calderdale,3,3,1,1,1,9
39J0896,413137,429129,3,19/09/2016,1514,6,U,1,1,1,Calderdale,1,3,1,26,1,9
39J1187,394341,424383,1,19/09/2016,1645,3,A646,1,1,1,Calderdale,1,3,1,55,1,1
39K1199,407680,424210,2,20/09/2016,1655,3,A646,1,1,1,Calderdale,1,3,1,63,1,9
39M1129,409823,420435,1,22/09/2016,1613,6,U,1,1,1,Calderdale,3,3,1,11,1,9
39N0583,401564,415623,2,23/09/2016,1125,1,M62,1,1,1,Calderdale,1,3,2,56,2,9
39N0754,408634,424757,1,23/09/2016,1310,3,A58,1,1,1,Calderdale,3,3,1,19,1,19
39Q1003,413829,423764,2,26/09/2016,1529,6,U,2,1,2,Calderdale,1,3,1,16,1,2
39S0259,409639,425272,2,28/09/2016,810,6,U,1,1,1,Calderdale,1,3,2,55,2,9
39S1667,394306,424335,2,28/09/2016,2019,3,A646,1,4,1,Calderdale,1,2,1,37,2,1
39T1815,408122,420965,2,29/09/2016,2200,4,B6114,1,4,1,Calderdale,1,1,1,18,1,9
39T1815,408122,420965,2,29/09/2016,2200,4,B6114,1,4,1,Calderdale,2,3,1,72,1,9
3A11081,409149,425199,1,01/10/2016,1529,6,U,1,1,1,Calderdale,3,3,2,24,1,9
3A11891,406889,424637,2,01/10/2016,2255,3,A646,1,4,1,Calderdale,1,3,2,18,1,9
3A30396,408259,427159,1,03/10/2016,945,6,U,1,1,1,Calderdale,3,3,1,43,1,9
3A30723,406945,430926,2,03/10/2016,1330,3,A629,1,1,8,Calderdale,2,3,2,11,2,9
3A30732,408868,419880,1,03/10/2016,1337,4,B6112,1,1,1,Calderdale,3,3,2,35,1,9
3A40172,407793,423242,2,04/10/2016,700,6,U,1,1,1,Calderdale,1,3,1,51,2,1
3A50264,406116,424096,1,05/10/2016,845,6,U,1,1,1,Calderdale,3,3,1,13,1,9
3A51005,410870,421674,2,05/10/2016,1555,3,A6025,1,1,1,Calderdale,1,3,1,23,2,9
3A51398,409230,425288,2,09/10/2016,1945,6,U,1,4,1,Calderdale,1,3,1,23,1,3
3A60323,409964,421081,1,06/10/2016,858,6,U,1,1,1,Calderdale,3,3,1,5,1,10
3A80348,411209,419553,2,08/10/2016,458,1,M62,1,4,1,Calderdale,1,3,1,28,1,9
3A80697,400875,426270,2,08/10/2016,1121,3,A646,1,1,1,Calderdale,2,3,2,62,1,9
3A80697,400875,426270,2,08/10/2016,1121,3,A646,1,1,1,Calderdale,1,3,1,54,2,9
3A80697,400875,426270,2,08/10/2016,1121,3,A646,1,1,1,Calderdale,2,3,2,48,2,9
3A80752,409946,421089,2,08/10/2016,1153,4,B6114,2,1,1,Calderdale,1,3,1,38,2,19
3A80752,409946,421089,2,08/10/2016,1153,4,B6114,2,1,1,Calderdale,2,3,2,29,1,9
3A80752,409946,421089,2,08/10/2016,1153,4,B6114,2,1,1,Calderdale,2,3,2,25,1,9
3AF1108,394300,424333,2,15/10/2016,1605,3,A624,1,1,1,Calderdale,1,3,1,86,1,9
3AG1426,409134,425471,2,16/10/2016,1821,3,A629,1,1,1,Calderdale,1,3,2,22,2,9
3AG1426,409134,425471,2,16/10/2016,1821,3,A629,1,1,1,Calderdale,2,3,2,24,2,9
3AI0689,414852,425164,1,18/10/2016,1335,3,A641,2,1,2,Calderdale,3,3,1,51,1,9
3AI1166,412738,420292,2,18/10/2016,1740,1,M62,1,1,1,Calderdale,1,3,1,48,1,9
3AI1356,408892,425783,2,18/10/2016,1905,6,U,2,4,1,Calderdale,2,3,2,10,2,9
3AI1356,408892,425783,2,18/10/2016,1905,6,U,2,4,1,Calderdale,2,3,2,32,2,9
3AJ1358,405836,423425,2,19/10/2016,1915,6,U,1,4,1,Calderdale,2,3,2,20,1,8
3AL0581,408802,424910,2,21/10/2016,1216,3,A58,1,1,1,Calderdale,1,3,1,72,2,9
3AM0524,414157,423059,1,22/10/2016,930,3,A644,1,1,1,Calderdale,1,3,2,78,1,9
3AQ0263,414866,425163,2,26/10/2016,739,3,A641,1,1,1,Calderdale,1,2,1,46,1,1
3AQ0400,411551,420349,1,26/10/2016,1012,6,U,1,1,1,Calderdale,1,3,2,79,1,9
3AQ0500,407636,426041,1,26/10/2016,1125,6,U,2,1,1,Calderdale,1,3,2,49,1,9
3AQ1141,409973,425659,2,26/10/2016,1700,3,A58,1,1,1,Calderdale,1,3,1,33,1,4
3AR1138,411535,419637,4,27/10/2016,1735,1,M62,1,1,1,Calderdale,2,3,1,23,3,9
3AR1138,411535,419637,4,27/10/2016,1735,1,M62,1,1,1,Calderdale,1,3,2,20,3,9
3AR1696,410904,420722,1,26/10/2016,2150,6,U,1,4,1,Calderdale,3,3,1,40,1,9
3AS1370,391025,426225,1,28/10/2016,1300,6,U,1,1,1,Calderdale,3,3,1,25,1,19
3AV1325,406867,428047,2,31/10/2016,1740,6,U,1,1,1,Calderdale,2,3,1,64,1,11
3AV1395,409112,425093,1,31/10/2016,1800,3,A629,1,4,1,Calderdale,3,3,1,27,1,9
3B21902,407763,427522,2,02/11/2016,2250,3,A629,2,4,1,Calderdale,2,3,2,52,1,9
3B30197,409759,421287,2,04/11/2016,726,4,B6112,1,1,1,Calderdale,1,2,1,21,1,3
3B40406,407529,425474,2,04/11/2016,1000,6,U,1,1,1,Calderdale,1,3,2,41,1,9
3B40796,416677,422368,2,04/11/2016,1340,1,M62,1,1,1,Calderdale,1,3,1,44,1,9
3B70794,394794,424516,1,27/10/2016,900,6,U,1,1,1,Calderdale,3,3,2,74,1,9
3B90137,398865,414804,3,09/11/2016,540,1,M62,3,4,3,Calderdale,1,3,1,58,1,8
3BA1031,416104,422876,2,10/11/2016,1610,6,U,2,1,1,Calderdale,3,3,2,36,1,9
3BA1221,406526,423794,1,10/11/2016,1805,3,A58,2,4,1,Calderdale,3,3,2,22,1,9
3BA1511,410958,421789,2,10/11/2016,1245,3,A6025,1,1,1,Calderdale,2,3,2,82,2,9
3BB1171,409373,425592,2,10/11/2016,1420,6,U,1,1,1,Calderdale,1,3,2,25,2,9
3BC0727,398776,414653,1,12/11/2016,1250,1,M62,2,1,1,Calderdale,1,3,2,38,1,9
3BC1844,409319,424753,2,12/11/2016,2330,3,A629,1,4,1,Calderdale,2,3,1,15,2,9
3BC1844,409319,424753,2,12/11/2016,2330,3,A629,1,4,1,Calderdale,1,3,2,19,2,9
3BE1188,409797,423090,2,14/11/2016,1717,3,A626,2,4,1,Calderdale,1,3,1,54,1,1
3BE1382,409653,424985,2,14/11/2016,1858,6,U,2,4,1,Calderdale,1,3,1,50,1,9
3BE1382,409653,424985,2,14/11/2016,1858,6,U,2,4,1,Calderdale,1,3,2,22,2,9
3BG0601,417770,420909,2,16/11/2016,1205,3,A62,2,1,1,Calderdale,1,3,1,24,2,1
3BK0957,411156,419514,2,20/11/2016,1440,1,M62,1,1,1,Calderdale,1,3,1,48,2,9
3BK0957,411156,419514,2,20/11/2016,1440,1,M62,1,1,1,Calderdale,2,3,2,49,1,9
3BK0957,411156,419514,2,20/11/2016,1440,1,M62,1,1,1,Calderdale,2,3,2,17,1,9
3BL0189,407886,426458,2,21/11/2016,720,6,U,2,4,2,Calderdale,1,3,1,26,2,3
3BL1247,403842,425297,1,21/11/2016,1800,6,U,2,4,5,Calderdale,3,3,2,24,1,9
3BL1455,408404,426585,2,21/11/2016,1454,3,A629,1,7,1,Calderdale,1,3,2,47,1,9
3BL1455,408404,426585,2,21/11/2016,1454,3,A629,1,7,1,Calderdale,2,3,2,16,1,9
3BO0541,408744,425850,3,24/11/2016,1123,3,A629,1,1,1,Calderdale,1,3,2,30,2,9
3BP1244,394028,424201,1,25/11/2016,1730,3,A646,1,4,1,Calderdale,3,3,2,33,1,9
3BQ1300,408896,421306,1,26/11/2016,1726,4,B6113,1,1,1,Calderdale,3,3,1,69,1,9
3BS0640,403756,425085,2,26/11/2016,1430,3,A646,1,1,1,Calderdale,1,3,1,41,2,1
3BS0839,408326,426906,3,28/11/2016,1400,3,A629,1,1,1,Calderdale,1,3,1,61,2,5
3BS0991,393740,424150,2,23/11/2016,1700,3,A646,1,4,1,Calderdale,1,3,2,81,1,9
3BT0170,414862,422958,1,29/11/2016,539,3,A643,2,4,1,Calderdale,3,2,2,52,1,21
3BT0779,404289,420320,1,29/11/2016,1415,3,A58,1,1,1,Calderdale,1,3,1,87,1,9
3BT0779,404289,420320,1,29/11/2016,1415,3,A58,1,1,1,Calderdale,2,2,2,87,1,9
3BT0853,408743,422679,1,28/11/2016,1530,6,U,1,1,1,Calderdale,3,3,1,39,1,90
3BT0968,416372,422224,3,29/11/2016,1629,3,A644,1,1,1,Calderdale,1,3,1,48,2,19
3BT0968,416372,422224,3,29/11/2016,1629,3,A644,1,1,1,Calderdale,1,3,1,40,3,19
3BU0555,412533,425487,1,30/11/2016,1128,3,A58,1,1,1,Calderdale,3,2,2,82,1,9
3BU0733,413476,426043,2,30/11/2016,1312,3,A58,2,1,1,Calderdale,1,3,1,66,2,19
3BU1088,411599,419658,3,30/11/2016,1625,1,M62,2,4,1,Calderdale,1,3,1,45,1,9
3C10734,406224,423686,2,01/12/2016,1650,6,U,1,4,1,Calderdale,1,3,1,36,2,1
3C11127,409581,421143,2,01/12/2016,1630,4,B6112,2,4,1,Calderdale,2,2,1,29,2,9
3C11127,409581,421143,2,01/12/2016,1630,4,B6112,2,4,1,Calderdale,1,2,1,39,1,9
3C11127,409581,421143,2,01/12/2016,1630,4,B6112,2,4,1,Calderdale,1,2,1,29,2,9
3C20419,409233,425087,1,02/12/2016,904,6,U,1,1,1,Calderdale,3,3,2,72,1,9
3C21001,407111,428651,2,02/12/2016,1511,3,A629,1,1,1,Calderdale,1,3,1,43,1,9
3C30458,398919,420371,1,03/12/2016,836,4,B6138,2,1,1,Calderdale,1,3,1,38,1,8
3C40670,408484,424676,2,04/12/2016,1134,3,A58,2,1,1,Calderdale,2,3,2,33,2,9
3C40860,411430,429384,1,04/12/2016,1330,6,U,1,1,1,Calderdale,1,1,1,80,1,9
3C60820,414582,422894,1,06/12/2016,1115,6,U,1,1,1,Calderdale,3,3,2,82,1,9
3C71349,414582,422900,2,07/12/2016,1800,6,U,1,4,1,Calderdale,1,3,2,38,2,9
3C80192,406259,423902,2,08/12/2016,1815,6,U,1,4,1,Calderdale,1,3,1,29,2,1
3C81134,400646,415313,2,08/12/2016,1615,1,M62,2,4,7,Calderdale,2,2,1,36,2,9
3C81411,409444,423329,1,08/12/2016,1829,6,U,1,4,1,Calderdale,3,3,1,21,1,9
3C81737,410957,420885,2,08/12/2016,2058,6,U,1,4,1,Calderdale,1,3,2,35,1,9
3C81737,410957,420885,2,08/12/2016,2058,6,U,1,4,1,Calderdale,2,3,2,49,1,9
3C81737,410957,420885,2,08/12/2016,2058,6,U,1,4,1,Calderdale,2,3,2,7,1,9
3C81737,410957,420885,2,08/12/2016,2058,6,U,1,4,1,Calderdale,2,3,1,18,2,9
3C91606,390042,426113,1,09/12/2016,2045,3,A646,2,4,1,Calderdale,1,3,1,43,1,9
3CB1452,407388,425510,2,11/12/2016,2115,6,U,2,4,1,Calderdale,1,3,2,51,2,9
3CB1452,407388,425510,2,11/12/2016,2115,6,U,2,4,1,Calderdale,2,3,2,45,2,9
3CC1318,399318,427267,1,12/12/2016,1318,6,U,1,1,1,Calderdale,3,2,2,72,1,9
3CE1657,412972,429004,3,14/12/2016,2039,3,A6036,1,4,1,Calderdale,1,1,1,29,1,9
3CF0983,416317,422076,3,15/12/2016,1609,1,M62,1,4,1,Calderdale,1,3,1,53,1,9
3CF1536,411039,420727,2,14/12/2016,1800,6,U,1,4,1,Calderdale,2,3,2,59,1,9
3CG1544,399532,427000,2,16/12/2016,1730,3,A646,1,4,1,Calderdale,1,3,1,50,2,5
3CG1838,407612,425896,1,16/12/2016,2238,6,U,1,4,1,Calderdale,3,3,1,15,1,9
3CI0903,409951,425657,2,18/12/2016,405,3,A58,1,4,1,Calderdale,1,3,1,32,1,8
3CI1167,406521,423797,2,18/12/2016,1700,3,A58,1,4,1,Calderdale,1,3,1,33,2,5
3CJ0402,404367,416732,1,19/12/2016,1000,1,M62,1,1,1,Calderdale,1,3,2,34,1,9
3CJ1043,412612,428904,2,19/12/2016,1643,3,A6036,2,4,1,Calderdale,1,3,1,17,2,3
3CJ1121,405786,424180,2,19/12/2016,1710,3,A646,2,4,1,Calderdale,1,3,1,17,2,3
3CM0935,407067,428164,1,22/12/2016,1555,3,A629,1,1,1,Calderdale,3,3,1,82,1,8
3CN1275,409520,424564,2,23/12/2016,1800,6,U,2,4,5,Calderdale,1,3,1,22,1,9
3CN1502,393629,424137,1,23/12/2016,2050,3,A1502,2,4,2,Calderdale,3,2,1,26,1,8
3CO0819,408916,425399,2,24/12/2016,1325,6,U,2,1,2,Calderdale,1,3,2,43,1,9
3CO0819,408916,425399,2,24/12/2016,1325,6,U,2,1,2,Calderdale,2,3,1,15,1,9
3CQ1558,408328,425108,2,26/12/2016,2304,6,U,1,4,1,Calderdale,2,2,2,26,1,8
3CQ1558,408328,425108,2,26/12/2016,2304,6,U,1,4,1,Calderdale,1,2,1,66,1,8
3CV1626,389969,426221,4,31/12/2016,2346,6,U,2,4,2,Calderdale,1,3,1,27,1,9
