dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration
01M292,62%,58%,32%,63%,43%,41%,85%,70%,53%,77%,76%,2013-2014, P, D, P, P, P
01M448,83%,78%,55%,90%,80%,52%,85%,70%,53%,75%,90%,2012-2013, P, P, P, P, P
01M450,92%,76%,58%,88%,82%,69%,85%,70%,53%,89%,92%,,,,,,
01M509,59%,36%,38%,59%,48%,26%,85%,70%,53%,28%,71%,2013-2014, D, D, D, D, P
01M539,99%,98%,84%,97%,95%,89%,85%,70%,53%,75%,87%,2010-2011,WD, P, P,WD, D
01M696,96%,98%,94%,98%,100%,93%,85%,70%,53%,90%,98%,2013-2014,WD,WD, P,WD,WD
02M047,98%,71%,42%,90%,69%,62%,85%,70%,53%,50%,90%,2013-2014, P, P, P, P, P
02M135,N/A,N/A,N/A,84%,N/A,N/A,85%,70%,53%,78%,81%,,,,,,
02M139,N/A,N/A,N/A,89%,N/A,N/A,85%,70%,53%,81%,84%,,,,,,
02M260,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,85%,88%,2011-2012, P, P, P, P, P
02M280,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,N/A,N/A,,,,,,
02M282,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,N/A,N/A,,,,,,
02M288,89%,84%,53%,92%,77%,49%,85%,70%,53%,65%,83%,,,,,,
02M294,90%,65%,49%,88%,71%,40%,85%,70%,53%,88%,96%,2013-2014,WD, P,WD,WD, P
02M296,82%,66%,52%,74%,73%,47%,85%,70%,53%,77%,88%,,,,,,
02M298,94%,89%,69%,89%,94%,68%,85%,70%,53%,83%,93%,,,,,,
02M300,73%,55%,55%,79%,65%,43%,85%,70%,53%,66%,82%,2013-2014, P, P, P, P, P
02M303,78%,62%,52%,83%,72%,49%,85%,70%,53%,78%,87%,2011-2012, P, P, P,WD, P
02M305,83%,83%,60%,90%,87%,69%,85%,70%,53%,66%,80%,2012-2013, P, P, P, P, P
02M308,67%,75%,52%,74%,72%,61%,85%,70%,53%,82%,84%,,,,,,
02M316,77%,75%,48%,71%,77%,62%,85%,70%,53%,64%,91%,2011-2012, P, P, D, P, P
02M374,82%,77%,50%,79%,74%,54%,85%,70%,53%,52%,73%,2012-2013, D, D, D, D, D
02M376,98%,94%,86%,97%,96%,78%,85%,70%,53%,89%,96%,2013-2014,WD, P,WD,WD,WD
02M392,83%,86%,N/A,87%,84%,64%,85%,70%,53%,68%,84%,2011-2012,WD, P, P,WD,WD
02M393,72%,72%,N/A,71%,66%,48%,85%,70%,53%,77%,86%,2011-2012, P, P, D, P, P
02M399,77%,67%,N/A,82%,56%,51%,85%,70%,53%,55%,81%,2013-2014, P, P, P, P, P
02M400,85%,83%,64%,80%,84%,70%,85%,70%,53%,83%,83%,2013-2014, P, P, P, P, P
02M407,100%,94%,58%,100%,90%,84%,85%,70%,53%,84%,95%,2012-2013,WD,WD,WD,WD,WD
02M408,93%,96%,66%,89%,94%,66%,85%,70%,53%,58%,89%,2013-2014, P, P, P, P, P
02M411,100%,99%,96%,98%,100%,97%,85%,70%,53%,76%,92%,,,,,,
02M412,95%,95%,73%,98%,96%,79%,85%,70%,53%,81%,94%,,,,,,
02M413,95%,85%,77%,99%,91%,78%,85%,70%,53%,75%,88%,2010-2011,WD,WD,WD,WD, P
02M414,99%,98%,91%,98%,97%,81%,85%,70%,53%,32%,93%,,,,,,
02M416,100%,100%,97%,99%,100%,89%,85%,70%,53%,94%,98%,,,,,,
02M418,100%,99%,86%,99%,99%,88%,85%,70%,53%,69%,97%,,,,,,
02M419,80%,50%,41%,80%,66%,35%,85%,70%,53%,74%,84%,2012-2013, P, D, P, P, P
02M420,89%,86%,77%,92%,90%,76%,85%,70%,53%,78%,87%,2013-2014, P, P, P, P,WD
02M422,84%,N/A,N/A,88%,N/A,N/A,85%,70%,53%,70%,78%,2011-2012, P, P, D, P, P
02M425,75%,68%,43%,82%,64%,41%,85%,70%,53%,71%,81%,2013-2014, P, P, P,WD, P
02M427,61%,N/A,N/A,60%,49%,N/A,85%,70%,53%,81%,80%,2012-2013, D, D, D, D, P
02M432,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,77%,90%,2012-2013, P, D, D, P, P
02M437,74%,N/A,N/A,78%,91%,N/A,85%,70%,53%,74%,86%,2012-2013, D, D, D, P, P
02M438,81%,N/A,N/A,81%,36%,N/A,85%,70%,53%,85%,85%,2012-2013, P, P, P, P, P
02M439,100%,97%,83%,100%,99%,85%,85%,70%,53%,34%,88%,,,,,,
02M449,68%,75%,59%,80%,75%,47%,85%,70%,53%,82%,90%,2011-2012, P, P, P, P, P
02M459,81%,56%,55%,95%,71%,52%,85%,70%,53%,90%,96%,2011-2012, P, P, P, P, P
02M475,99%,98%,99%,99%,99%,97%,85%,70%,53%,92%,95%,,,,,,
02M489,83%,75%,77%,88%,82%,70%,85%,70%,53%,77%,88%,2013-2014,WD, P, P, P, P
02M500,80%,68%,40%,78%,68%,28%,85%,70%,53%,90%,95%,2011-2012, D, D, P, P, P
02M507,83%,N/A,N/A,85%,N/A,N/A,85%,70%,53%,84%,85%,2013-2014,WD, P,WD,WD,WD
02M519,97%,96%,81%,94%,95%,76%,85%,70%,53%,62%,91%,2012-2013,WD, P,WD,WD, P
02M520,56%,51%,43%,52%,51%,36%,85%,70%,53%,62%,63%,2013-2014, D, D, D, P, D
02M529,67%,66%,43%,81%,61%,45%,85%,70%,53%,62%,90%,2013-2014, D, D, D, P, P
02M531,100%,96%,61%,100%,98%,71%,85%,70%,53%,53%,84%,,,,,,
02M533,89%,N/A,N/A,91%,N/A,N/A,85%,70%,53%,54%,64%,,,,,,
02M534,100%,N/A,N/A,92%,N/A,N/A,85%,70%,53%,76%,76%,,,,,,
02M542,98%,82%,70%,92%,85%,58%,85%,70%,53%,92%,96%,,,,,,
02M543,73%,85%,58%,74%,82%,47%,85%,70%,53%,69%,90%,,,,,,
02M545,98%,98%,88%,100%,96%,83%,85%,70%,53%,52%,92%,,,,,,
02M546,97%,N/A,N/A,90%,N/A,N/A,85%,70%,53%,73%,91%,,,,,,
02M551,90%,71%,71%,82%,76%,51%,85%,70%,53%,60%,84%,2013-2014, P, D, P, P, D
02M580,71%,72%,55%,64%,71%,59%,85%,70%,53%,55%,76%,2010-2011, P, P, D, P, P
02M600,91%,91%,66%,90%,92%,68%,85%,70%,53%,84%,85%,,,,,,
02M605,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,94%,95%,2010-2011, P,WD,WD, P,WD
02M615,83%,80%,41%,75%,85%,56%,85%,70%,53%,70%,86%,2011-2012, P, P, P, P, P
02M630,81%,84%,82%,82%,81%,62%,85%,70%,53%,77%,78%,2010-2011, P, P, P, P, P
02M655,82%,64%,40%,74%,76%,43%,85%,70%,53%,79%,69%,2013-2014, P, P, D, P, D
03M299,74%,75%,40%,77%,72%,44%,85%,70%,53%,72%,81%,2013-2014, P, P, P, P, D
03M307,77%,61%,40%,75%,67%,41%,85%,70%,53%,67%,87%,2013-2014, P, D, P, P, P
03M402,70%,40%,N/A,88%,49%,29%,85%,70%,53%,65%,82%,2013-2014, P, P, P, P, P
03M403,82%,53%,N/A,65%,75%,40%,85%,70%,53%,N/A,N/A,2013-2014, D, D, D, P, P
03M415,57%,44%,31%,52%,50%,23%,85%,70%,53%,63%,76%,2013-2014, D, D, D, P, P
03M417,85%,N/A,N/A,91%,95%,N/A,85%,70%,53%,64%,80%,2012-2013, P, P, D, P,WD
03M479,97%,99%,84%,95%,99%,84%,85%,70%,53%,89%,96%,,,,,,
03M485,99%,98%,86%,98%,99%,80%,85%,70%,53%,82%,92%,,,,,,
03M492,76%,74%,41%,70%,72%,48%,85%,70%,53%,73%,79%,2011-2012,WD,WD,WD,WD,WD
03M494,77%,64%,51%,81%,61%,39%,85%,70%,53%,50%,72%,2013-2014, D, D, D, D, D
03M541,94%,91%,89%,97%,98%,89%,85%,70%,53%,70%,92%,2011-2012, P, P, P,WD, P
03M859,N/A,N/A,N/A,96%,N/A,N/A,85%,70%,53%,67%,92%,2011-2012,WD,WD,WD,WD,WD
03M860,89%,65%,59%,89%,73%,42%,85%,70%,53%,72%,68%,2011-2012,WD, P, D, P, P
04M372,94%,N/A,N/A,91%,N/A,N/A,85%,70%,53%,78%,83%,2012-2013,WD, P,WD,WD, P
04M409,65%,41%,22%,66%,27%,30%,85%,70%,53%,80%,86%,2013-2014, P, D, D, P, P
04M435,95%,90%,77%,96%,94%,77%,85%,70%,53%,88%,90%,2013-2014, P,WD,WD,WD, P
04M495,76%,76%,51%,92%,93%,55%,85%,70%,53%,86%,91%,,,,,,
04M555,87%,93%,73%,92%,98%,77%,85%,70%,53%,87%,95%,,,,,,
04M610,95%,100%,91%,93%,100%,97%,85%,70%,53%,62%,92%,2010-2011,WD, P, P,WD,WD
04M680,78%,61%,36%,76%,70%,33%,85%,70%,53%,72%,73%,2012-2013, P, D, P, P, P
05M148,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,87%,77%,,,,,,
05M157,N/A,N/A,N/A,79%,N/A,N/A,85%,70%,53%,75%,79%,,,,,,
05M304,76%,69%,45%,82%,66%,47%,85%,70%,53%,66%,81%,2012-2013, D, D, D, P, P
05M362,89%,N/A,N/A,97%,99%,N/A,85%,70%,53%,78%,83%,2011-2012, P, P,WD,WD,WD
05M367,63%,59%,23%,57%,45%,46%,85%,70%,53%,49%,72%,2013-2014, P, D, P, P, P
05M369,85%,68%,60%,79%,77%,49%,85%,70%,53%,40%,68%,2013-2014, D, D, D, D, P
05M499,64%,80%,76%,78%,68%,78%,85%,70%,53%,82%,59%,2013-2014, P, D, P,WD, P
05M670,63%,94%,63%,74%,84%,78%,85%,70%,53%,68%,84%,2013-2014, P, D, P, P, P
05M692,100%,99%,98%,98%,99%,95%,85%,70%,53%,66%,94%,,,,,,
06M211,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,N/A,N/A,,,,,,
06M293,84%,88%,95%,74%,97%,86%,85%,70%,53%,76%,93%,,,,,,
06M346,64%,58%,45%,75%,62%,48%,85%,70%,53%,89%,92%,2013-2014, P, D, P, P,WD
06M348,77%,66%,58%,85%,78%,58%,85%,70%,53%,83%,93%,2011-2012, P,WD,WD,WD,WD
06M423,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,82%,91%,2011-2012,WD, P, P, P, P
06M462,76%,64%,42%,75%,55%,40%,85%,70%,53%,89%,86%,,,,,,
06M463,68%,62%,45%,62%,61%,33%,85%,70%,53%,78%,80%,2013-2014, P, D, P, P, P
06M467,68%,60%,39%,74%,69%,50%,85%,70%,53%,77%,76%,,,,,,
06M468,65%,49%,36%,70%,59%,35%,85%,70%,53%,73%,76%,2013-2014, D, D, D, P, D
06M540,73%,73%,65%,71%,76%,49%,85%,70%,53%,93%,84%,2012-2013, D, D, D, P, P
06M552,70%,64%,56%,79%,56%,45%,85%,70%,53%,94%,92%,,,,,,
07X221,91%,86%,63%,84%,87%,51%,79%,59%,41%,78%,85%,2012-2013, P, P, P,WD, P
07X223,N/A,N/A,N/A,98%,N/A,N/A,79%,59%,41%,88%,89%,2013-2014,WD, P,WD,WD,WD
07X259,N/A,N/A,N/A,89%,N/A,N/A,79%,59%,41%,72%,84%,,,,,,
07X334,55%,31%,28%,74%,40%,19%,79%,59%,41%,84%,85%,2013-2014, D, P, P, P, P
07X427,78%,69%,53%,70%,63%,46%,79%,59%,41%,77%,77%,2013-2014,WD, P, P, P, P
07X473,79%,51%,42%,74%,57%,27%,79%,59%,41%,79%,92%,2013-2014, D, D, D, P, D
07X495,99%,85%,69%,93%,94%,65%,79%,59%,41%,88%,91%,,,,,,
07X500,82%,75%,76%,87%,88%,64%,79%,59%,41%,54%,78%,2013-2014, D, D, D, P, D
07X520,62%,48%,34%,53%,42%,41%,79%,59%,41%,42%,62%,2012-2013, D, D, D, P, D
07X522,61%,N/A,N/A,75%,N/A,N/A,79%,59%,41%,82%,86%,2013-2014, P, D, P,WD, P
07X527,91%,62%,55%,94%,65%,55%,79%,59%,41%,92%,92%,2013-2014, D, D, P, P, P
07X547,66%,54%,25%,68%,54%,28%,79%,59%,41%,N/A,N/A,2013-2014, P, D, D, P, P
07X548,85%,68%,48%,88%,74%,45%,79%,59%,41%,81%,88%,,,,,,
07X551,68%,87%,65%,85%,65%,58%,79%,59%,41%,78%,79%,2013-2014, P, D, P,WD, P
07X600,75%,51%,23%,77%,64%,19%,79%,59%,41%,80%,71%,2012-2013, D,UD, D, D, D
07X670,68%,69%,54%,50%,56%,47%,79%,59%,41%,64%,66%,2013-2014, P, D, P, P, P
08X269,75%,70%,N/A,71%,66%,47%,79%,59%,41%,76%,80%,2013-2014, D, D, P, P, P
08X282,63%,66%,43%,68%,72%,51%,79%,59%,41%,44%,58%,2013-2014, P, D, D, D, P
08X293,80%,80%,41%,80%,73%,54%,79%,59%,41%,80%,71%,2012-2013, P, D, P,WD, P
08X305,82%,61%,27%,85%,70%,30%,79%,59%,41%,75%,79%,2010-2011, D, D, P, P, D
08X312,89%,66%,34%,85%,68%,45%,79%,59%,41%,67%,78%,,,,,,
08X320,N/A,N/A,N/A,76%,N/A,N/A,79%,59%,41%,65%,58%,,,,,,
08X332,74%,51%,27%,61%,46%,28%,79%,59%,41%,72%,89%,2013-2014, P, P, P, P, P
08X348,N/A,N/A,N/A,68%,N/A,N/A,79%,59%,41%,64%,67%,,,,,,
08X349,N/A,N/A,N/A,81%,N/A,N/A,79%,59%,41%,80%,82%,,,,,,
08X367,76%,N/A,N/A,82%,53%,N/A,79%,59%,41%,69%,66%,2013-2014, D, D, D, P, D
08X376,62%,N/A,N/A,55%,59%,N/A,79%,59%,41%,66%,67%,2012-2013, D, D, D, D, D
08X405,55%,54%,33%,71%,52%,37%,79%,59%,41%,73%,60%,2013-2014, D, D, P, D, D
08X432,84%,N/A,N/A,81%,66%,N/A,79%,59%,41%,84%,81%,2012-2013, P, D,WD, P, P
08X452,79%,52%,45%,71%,57%,32%,79%,59%,41%,57%,80%,2012-2013, D, D,UD, D, D
08X519,75%,43%,32%,67%,42%,24%,79%,59%,41%,41%,69%,2013-2014, D, D, D, P, D
08X530,80%,42%,33%,76%,40%,22%,79%,59%,41%,77%,74%,2013-2014, P, D, P, P, D
08X558,76%,N/A,N/A,80%,N/A,N/A,79%,59%,41%,74%,77%,,,,,,
08X559,77%,N/A,N/A,79%,N/A,N/A,79%,59%,41%,68%,79%,,,,,,
08X561,82%,N/A,N/A,79%,N/A,N/A,79%,59%,41%,80%,72%,,,,,,
09X227,69%,57%,34%,67%,55%,34%,79%,59%,41%,93%,90%,2013-2014, D, D, P,WD, P
09X231,69%,68%,58%,61%,71%,51%,79%,59%,41%,83%,72%,2011-2012, P, P, P,WD, P
09X241,84%,89%,92%,82%,76%,69%,79%,59%,41%,70%,77%,2012-2013,WD, P,WD,WD,WD
09X250,77%,82%,46%,88%,85%,68%,79%,59%,41%,78%,86%,2012-2013, P, P, D,WD, P
09X252,83%,85%,65%,72%,69%,69%,79%,59%,41%,75%,81%,2012-2013, P, D, P, P, P
09X260,92%,92%,78%,90%,88%,83%,79%,59%,41%,81%,94%,,,,,,
09X263,89%,65%,41%,74%,58%,49%,79%,59%,41%,86%,92%,2013-2014, D, D, D, D, P
09X276,51%,56%,28%,60%,41%,25%,79%,59%,41%,69%,82%,2012-2013, P, P, P, P, P
09X297,71%,63%,34%,78%,59%,39%,79%,59%,41%,74%,73%,2010-2011, P, D, P, D, P
09X324,94%,94%,N/A,96%,88%,68%,79%,59%,41%,62%,77%,2013-2014, P, D, P, P, P
09X327,90%,N/A,N/A,85%,N/A,N/A,79%,59%,41%,60%,86%,,,,,,
09X329,77%,33%,37%,80%,44%,24%,79%,59%,41%,81%,80%,2011-2012, P, D, P, P, P
09X350,N/A,N/A,N/A,N/A,N/A,N/A,79%,59%,41%,85%,74%,,,,,,
09X365,98%,86%,42%,99%,91%,60%,79%,59%,41%,85%,96%,2012-2013,WD, P,WD,WD, P
09X403,88%,50%,45%,84%,68%,33%,79%,59%,41%,86%,79%,,,,,,
09X404,73%,62%,27%,75%,50%,40%,79%,59%,41%,54%,79%,2011-2012, D, D, P, P, P
09X412,70%,43%,34%,73%,45%,23%,79%,59%,41%,76%,83%,2012-2013, D, D, D, D, D
09X413,94%,88%,84%,89%,83%,69%,79%,59%,41%,46%,75%,2010-2011,WD, D, P,WD, P
09X505,71%,84%,66%,82%,77%,70%,79%,59%,41%,71%,71%,2012-2013, P, D, P, P, P
09X517,66%,69%,49%,77%,72%,32%,79%,59%,41%,70%,87%,2012-2013, D, D, P,WD, P
09X525,74%,57%,48%,57%,61%,37%,79%,59%,41%,66%,67%,2013-2014, P, P, P, P, P
09X543,87%,49%,41%,81%,62%,30%,79%,59%,41%,N/A,N/A,,,,,,
09X564,94%,N/A,N/A,79%,N/A,N/A,79%,59%,41%,93%,80%,,,,,,
09X568,N/A,N/A,N/A,N/A,N/A,N/A,79%,59%,41%,88%,77%,,,,,,
10X141,78%,78%,67%,81%,83%,61%,79%,59%,41%,74%,70%,2010-2011, P, P, P, P, P
10X213,80%,74%,44%,78%,60%,50%,79%,59%,41%,65%,67%,2013-2014, D, D, D, P, P
10X225,84%,83%,67%,77%,76%,72%,79%,59%,41%,74%,78%,2012-2013, P, D, P, P, P
10X237,84%,67%,66%,79%,68%,53%,79%,59%,41%,59%,77%,2012-2013, P, D, P, P, P
10X243,75%,74%,38%,79%,65%,40%,79%,59%,41%,74%,69%,2012-2013, D, D, D, D, D
10X264,N/A,N/A,N/A,90%,N/A,N/A,79%,59%,41%,85%,96%,,,,,,
10X268,78%,48%,47%,83%,57%,40%,79%,59%,41%,90%,87%,2012-2013, D, D, D, P, P
10X284,62%,66%,47%,53%,65%,47%,79%,59%,41%,70%,74%,2013-2014, P, D, P, P, P
10X342,86%,65%,38%,86%,61%,37%,79%,59%,41%,91%,89%,2012-2013, D, D, D, D,WD
10X351,N/A,N/A,N/A,79%,N/A,N/A,79%,59%,41%,78%,67%,,,,,,
10X353,N/A,N/A,N/A,81%,N/A,N/A,79%,59%,41%,68%,60%,,,,,,
10X368,69%,69%,68%,74%,90%,58%,79%,59%,41%,73%,77%,2013-2014, P, P, D, P, P
10X374,86%,85%,61%,77%,83%,63%,79%,59%,41%,88%,91%,2011-2012, P, P,WD,WD,WD
10X433,73%,68%,30%,90%,72%,39%,79%,59%,41%,68%,69%,2013-2014, D, D, D, P, D
10X434,86%,65%,34%,93%,70%,48%,79%,59%,41%,64%,82%,,,,,,
10X437,88%,85%,33%,94%,77%,44%,79%,59%,41%,80%,84%,2013-2014,WD, P, P,WD,WD
10X438,78%,38%,31%,71%,40%,22%,79%,59%,41%,73%,85%,2012-2013, D, D, P, D, D
10X439,78%,68%,45%,84%,75%,41%,79%,59%,41%,60%,72%,2011-2012, P, D, D, P, P
10X440,53%,55%,34%,69%,45%,39%,79%,59%,41%,82%,58%,2013-2014, D, D, D, D, D
10X442,78%,87%,54%,88%,89%,62%,79%,59%,41%,68%,74%,2013-2014, D, P, D, P, D
10X445,100%,100%,100%,100%,100%,96%,79%,59%,41%,92%,90%,,,,,,
10X477,92%,90%,74%,85%,91%,76%,79%,59%,41%,84%,73%,,,,,,
10X524,43%,N/A,N/A,46%,N/A,N/A,79%,59%,41%,84%,80%,2013-2014, P, D, D, P, P
10X546,74%,74%,50%,60%,71%,54%,79%,59%,41%,79%,63%,2013-2014, P, D, D, P, P
10X549,76%,57%,37%,77%,63%,29%,79%,59%,41%,50%,74%,2011-2012, P, P,WD,WD,WD
10X565,89%,N/A,N/A,83%,N/A,N/A,79%,59%,41%,78%,87%,,,,,,
10X696,98%,100%,99%,99%,100%,99%,79%,59%,41%,72%,96%,,,,,,
11X249,78%,98%,67%,85%,97%,67%,79%,59%,41%,35%,83%,,,,,,
11X253,81%,54%,27%,81%,62%,18%,79%,59%,41%,82%,81%,2012-2013, P, P, P, P, P
11X265,81%,66%,39%,74%,69%,41%,79%,59%,41%,63%,72%,2012-2013, P, D, P, P, P
11X270,80%,74%,34%,71%,68%,43%,79%,59%,41%,44%,57%,2011-2012, D, D, D, D, D
11X275,86%,85%,67%,59%,85%,53%,79%,59%,41%,79%,81%,,,,,,
11X288,77%,89%,81%,90%,82%,72%,79%,59%,41%,81%,76%,2010-2011, P, D, D,WD, P
11X290,76%,66%,67%,75%,70%,62%,79%,59%,41%,61%,68%,,,,,,
11X299,80%,63%,45%,76%,65%,49%,79%,59%,41%,56%,67%,2013-2014, P, D, D, P, P
11X418,66%,58%,35%,63%,57%,34%,79%,59%,41%,62%,74%,2012-2013, D, D, D, D, D
11X455,67%,58%,34%,71%,66%,34%,79%,59%,41%,85%,69%,2013-2014, D, D, P,WD, D
11X508,85%,N/A,N/A,78%,N/A,N/A,79%,59%,41%,74%,76%,2013-2014, P, P, P, P, P
11X509,61%,N/A,N/A,93%,N/A,N/A,79%,59%,41%,86%,85%,2013-2014, D, D, D, D, D
11X513,85%,84%,57%,85%,75%,72%,79%,59%,41%,77%,84%,,,,,,
11X514,74%,57%,24%,75%,72%,34%,79%,59%,41%,73%,73%,2013-2014, P, D, P, P, P
11X542,81%,95%,83%,82%,89%,79%,79%,59%,41%,71%,77%,2010-2011, P, D, P,WD, P
11X544,83%,71%,57%,79%,73%,31%,79%,59%,41%,57%,65%,,,,,,
11X545,66%,74%,58%,74%,59%,36%,79%,59%,41%,46%,49%,2011-2012, P, D, D, P, D
12X242,79%,N/A,N/A,77%,80%,N/A,79%,59%,41%,76%,90%,,,,,,
12X248,77%,71%,42%,78%,63%,59%,79%,59%,41%,73%,89%,,,,,,
12X251,78%,55%,41%,83%,65%,35%,79%,59%,41%,78%,90%,2012-2013, P, D, P, P, P
12X267,87%,73%,63%,98%,89%,43%,79%,59%,41%,91%,92%,,,,,,
12X271,77%,70%,46%,69%,80%,45%,79%,59%,41%,64%,70%,2013-2014, D, D, D, D, P
12X278,59%,43%,23%,54%,33%,17%,79%,59%,41%,58%,74%,2013-2014, D, D, D, D, D
14K685,90%,78%,34%,83%,64%,33%,82%,68%,50%,74%,94%,,,,,,
12X372,85%,N/A,N/A,76%,66%,N/A,79%,59%,41%,71%,80%,2013-2014, P, P, P, P, P
